comment,CountM,CountA,userid,CountD,datetime,user
,,,,,,
Renamed folder to the correct name,0,2,r1551925 ,2, 2015-11-27 16:57:44, Thomas 
,,,,,,
Removed unused webview.plan.management and webview_plan_management properties,27,0,r1551575 ,0, 2015-11-27 09:46:32, Thomas 
,,,,,,
enable all clients,1,0,r1551569 ,0, 2015-11-27 09:38:09, Vincent 
,,,,,,
Chnaged jira url to htps,1,0,r1551558 ,0, 2015-11-27 09:13:26, Thomas 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1551504 ,0, 2015-11-27 07:05:41, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
SFR-108 : preparing release for SFR,1,0,r1551486 ,0, 2015-11-27 06:10:10, Vincent 
,,,,,,
SFR-108 : 1.buddy sync removed from settings. 2. italics text corrected.,1,0,r1551485 ,0, 2015-11-27 06:06:30, Vincent 
,,,,,,
SFR-108 : androidM related strings added.,2,0,r1551375 ,0, 2015-11-26 15:01:51, Vincent 
,,,,,,
SFR-108 : removed unnecessary layouts which were copy-pasted from amx. They were enabling help_footer,0,0,r1551347 ,15, 2015-11-26 14:35:32, Vincent 
,,,,,,
SFR-108 : using WL base & snc urls,3,0,r1551334 ,0, 2015-11-26 14:20:12, Vincent 
,,,,,,
contact-sync enabled correctly.,2,0,r1551332 ,0, 2015-11-26 14:17:48, Vincent 
,,,,,,
contact-sync disabled. It was not a correct way.,1,0,r1551313 ,0, 2015-11-26 13:58:15, Vincent 
,,,,,,
Removed AMX specific layouts.,0,0,r1551307 ,15, 2015-11-26 13:48:29, Thomas 
,,,,,,
for SFR it is disabled.,3,0,r1551294 ,0, 2015-11-26 13:30:16, Vincent 
,,,,,,
contact-sync enabled.,1,0,r1551249 ,0, 2015-11-26 12:16:06, Vincent 
,,,,,,
reverted --> actionbar color & background,1,0,r1551248 ,0, 2015-11-26 12:15:26, Vincent 
,,,,,,
FTRPC-393: Frontier - Still receiving push notification even when Notifications is off from app settings.,1,0,r1551105 ,0, 2015-11-26 09:17:08, Thomas 
,,,,,,
actionbar color & background,1,0,r1551061 ,0, 2015-11-26 07:33:33, Vincent 
,,,,,,
,1,0,r1550863 ,0, 2015-11-25 16:42:06, Thomas 
,,,,,,
,1,0,r1550724 ,0, 2015-11-25 14:17:42, Thomas 
,,,,,,
"Client used systemAttribute name=""Creation-Date"" instead of versionCreated as version created.",1,0,r1550591 ,0, 2015-11-25 11:29:15, Thomas 
,,,,,,
Updated splashscreen to re use grphc_pcloud_logo image instead of splash_logo,4,2,r1550580 ,11, 2015-11-25 11:15:27, Thomas 
,,,,,,
,2,1,r1550503 ,0, 2015-11-25 09:26:22, Thomas 
,,,,,,
"three dots. ""...""",1,0,r1550097 ,0, 2015-11-24 14:41:53, Vincent 
,,,,,,
"Client used systemAttribute name=""Creation-Date"" instead of versionCreated as version created.",1,0,r1550089 ,0, 2015-11-24 14:28:19, Thomas 
,,,,,,
"2) ""AMX Cloud"" replaced by ""SFR Cloud""",2,0,r1550060 ,0, 2015-11-24 13:58:25, Vincent 
,,,,,,
2) fixed compilation errors.,6,259,r1550046 ,17, 2015-11-24 13:42:26, Vincent 
,,,,,,
Updated jira port number to 8443,1,0,r1549398 ,0, 2015-11-23 16:32:45, Thomas 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1549355 ,0, 2015-11-23 15:34:21, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
FTRPC-497: Frontier Android || Difference in the branding icon in push notifications,3,0,r1549331 ,0, 2015-11-23 15:20:49, Thomas 
,,,,,,
Homescreen update,7,0,r1549294 ,0, 2015-11-23 15:02:18, Jimmy 
,,,,,,
Fix crash on the boot complete,1,0,r1549111 ,0, 2015-11-23 11:46:06, Thomas 
,,,,,,
Instant upload only for Contacts and Photos will be ON.,1,0,r1548946 ,0, 2015-11-23 05:50:12, Vincent 
,,,,,,
FTRPC-309: Frontier - Report Abuse is ON,1,2,r1548632 ,0, 2015-11-20 16:36:17, Thomas 
,,,,,,
Put dontwarn for android.provider.** to fix snapshot build,1,0,r1548595 ,0, 2015-11-20 15:43:36, Thomas 
,,,,,,
Enabled com.android.support:support-v4-internal_impl,1,0,r1548398 ,0, 2015-11-20 13:06:04, Thomas 
,,,,,,
FTRPC-381: Add Android M Support to Handset Client,73,0,r1548384 ,0, 2015-11-20 12:57:08, Thomas 
,,,,,,
Copying resouces from att-m branch,0,1,r1548364 ,0, 2015-11-20 12:42:14, Thomas 
,,,,,,
Copying resources from att-m branch,0,1,r1548358 ,0, 2015-11-20 12:40:31, Thomas 
,,,,,,
Copying resources from att-m branch,0,1,r1548357 ,0, 2015-11-20 12:39:03, Thomas 
,,,,,,
Copying resources from att-m,0,1,r1548355 ,0, 2015-11-20 12:37:26, Thomas 
,,,,,,
Copying resources from att-m branch,0,1,r1548352 ,0, 2015-11-20 12:35:47, Thomas 
,,,,,,
Copy resources from att-m branch,0,1,r1548350 ,0, 2015-11-20 12:33:51, Thomas 
,,,,,,
Moving ui/permission classes from at-m branch,0,1,r1548342 ,0, 2015-11-20 12:28:01, Thomas 
,,,,,,
Moving model/permission classes from att-m branch,0,1,r1548336 ,0, 2015-11-20 12:26:32, Thomas 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1547894 ,0, 2015-11-19 16:41:58, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
- use the latest Cloud SDK 1.0.8 branch version to fix issues with upload not resuming + send the Creation-Date attribute at DV-Attach phase (if provided),2,0,r1547749 ,0, 2015-11-19 13:53:23, Freddie 
,,,,,,
Enabled all modules,1,0,r1547748 ,0, 2015-11-19 13:51:15, Jimmy 
,,,,,,
FTRPC-191 - Removed call logs and messages from home screen rendering,5,2,r1547738 ,0, 2015-11-19 13:35:41, Jimmy 
,,,,,,
Homescreen merge from at&t branch,18,1,r1547683 ,0, 2015-11-19 12:26:49, Jimmy 
,,,,,,
#NAME?,1,0,r1547493 ,0, 2015-11-19 06:31:05, Vincent 
,,,,,,
chrome_cast_support_feature= true. enabled on Frontier.,1,0,r1546917 ,0, 2015-11-18 09:06:34, Vincent 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1546493 ,0, 2015-11-17 15:38:50, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
reverted changes of Revision: 1545628,1,0,r1546460 ,0, 2015-11-17 14:56:49, Vincent 
,,,,,,
Fixed FTRPC-410: Frontier - Favorited Documents is not showing up under favorite tile.,6,0,r1546414 ,0, 2015-11-17 14:09:45, Thomas 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1545714 ,0, 2015-11-16 15:35:27, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
Reverted to older cloud sdk,3,0,r1545674 ,0, 2015-11-16 14:47:41, Jimmy 
,,,,,,
Reverted to older cloud sdk,1,0,r1545670 ,0, 2015-11-16 14:40:00, Jimmy 
,,,,,,
,1,0,r1545663 ,0, 2015-11-16 14:35:39, Jimmy 
,,,,,,
Dropped SDK version,1,0,r1545657 ,0, 2015-11-16 14:30:47, Jimmy 
,,,,,,
UPdated,1,0,r1545652 ,0, 2015-11-16 14:26:50, Jimmy 
,,,,,,
Added sfr module,10,91,r1545628 ,0, 2015-11-16 13:45:04, Jimmy 
,,,,,,
fix the build for the jacoco agent warnings,1,0,r1544560 ,0, 2015-11-12 20:10:20, Dave 
,,,,,,
FRT only,1,0,r1544422 ,0, 2015-11-12 15:48:11, Jimmy 
,,,,,,
Fixed unit test,0,0,r1544421 ,1, 2015-11-12 15:47:49, Jimmy 
,,,,,,
Fixed unit test,1,0,r1544404 ,0, 2015-11-12 15:31:13, Jimmy 
,,,,,,
Modified test,1,0,r1544362 ,0, 2015-11-12 14:37:08, Jimmy 
,,,,,,
Modified test,1,0,r1544360 ,0, 2015-11-12 14:31:35, Jimmy 
,,,,,,
Modified app Target version,1,0,r1544350 ,0, 2015-11-12 14:27:36, Jimmy 
,,,,,,
FTRPC-119,1,0,r1544342 ,0, 2015-11-12 14:16:04, Jimmy 
,,,,,,
FTRPC-119,10,0,r1544339 ,0, 2015-11-12 14:11:02, Jimmy 
,,,,,,
Merged from trunk: ANDINTL-3373: 15.2 | 15.2.30 | PC Home Screen | Search functionality is not working within the Timeline Month Folders [from revision 1543798],3,0,r1544282 ,0, 2015-11-12 11:44:34, Thomas 
,,,,,,
PHONE-2008: Phone 2.0 - Photos/ Songs/ Documents fonts should be bold on home screen. [from revision 1543831],2,0,r1544253 ,0, 2015-11-12 10:32:06, Thomas 
,,,,,,
Merged: ANDINTL-3667: 15.3:Album count is not getting updated after we delete all photos [from revision 1544231],2,0,r1544250 ,0, 2015-11-12 10:27:58, Thomas 
,,,,,,
default value of this varibale is true for all projects.,3,0,r1541334 ,0, 2015-11-05 16:31:34, Vincent 
,,,,,,
default value of this varibale is false for all projects.,7,0,r1540927 ,0, 2015-11-04 20:47:04, Vincent 
,,,,,,
I have fixed ArrayIndexoutOfBounds issue. No_Sync issue is still there.,1,0,r1540926 ,0, 2015-11-04 20:34:30, Vincent 
,,,,,,
report abuse is disabled for Frontier android client.,1,1,r1540834 ,0, 2015-11-04 16:37:55, Vincent 
,,,,,,
invitation is now disabled on Frontier android.,1,0,r1540809 ,0, 2015-11-04 16:15:14, Vincent 
,,,,,,
Enabled all clients,1,0,r1540172 ,0, 2015-11-03 14:59:39, Jimmy 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1540168 ,0, 2015-11-03 14:50:34, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
Frontier,1,0,r1540148 ,0, 2015-11-03 14:35:14, Jimmy 
,,,,,,
Added carriage return,1,0,r1539956 ,0, 2015-11-03 10:32:49, Jimmy 
,,,,,,
Return imports,1,0,r1539933 ,0, 2015-11-03 09:59:13, Thomas 
,,,,,,
PHONE-1855: Phone - Android Prod Cannot Switch Account,1,0,r1539930 ,0, 2015-11-03 09:57:23, Thomas 
,,,,,,
"add string widget_header_update_text, containing generic update message for HomeScreenWidget ViewFlipper TextView.",1,0,r1539664 ,0, 2015-11-02 15:15:35, ajon0002 
,,,,,,
"TODO is to hold counts delta per Count.type, instead of in a List, as this is last stop for delta before passing to Intent, which must be as Strings, so do the iterating here.",1,0,r1539662 ,0, 2015-11-02 15:13:19, ajon0002 
,,,,,,
Holds delta on Counts between this matrix and previous matrix.,1,0,r1539659 ,0, 2015-11-02 15:09:41, ajon0002 
,,,,,,
"TODO: switch generic update message to ""X new photos, Y new files..."" from Matrix delta.",1,0,r1539656 ,0, 2015-11-02 15:06:09, ajon0002 
,,,,,,
These are not currently used.,1,0,r1539654 ,0, 2015-11-02 15:02:56, ajon0002 
,,,,,,
Make HomeScreenWidget vertically resizeable.,1,0,r1539651 ,0, 2015-11-02 15:00:59, ajon0002 
,,,,,,
VF containts logo and TextView for update msg. Visibility toggled on update.,1,0,r1539648 ,0, 2015-11-02 15:00:06, ajon0002 
,,,,,,
Initialises ACTION_UPDATE_COUNT intent and sends broadcast for HomeScreenWidget.,1,0,r1539645 ,0, 2015-11-02 14:58:00, ajon0002 
,,,,,,
Add getter for delta.,1,0,r1539640 ,0, 2015-11-02 14:55:02, ajon0002 
,,,,,,
AMXPC-22: Incorporate new In-App Purchase Flows into Titans Android 15.2 client for Titans,3,0,r1539452 ,0, 2015-11-02 11:38:15, Thomas 
,,,,,,
,1,0,r1539443 ,0, 2015-11-02 11:32:59, Thomas 
,,,,,,
Disabled buddy sync for amx cient,1,0,r1539019 ,0, 2015-10-30 16:07:02, Thomas 
,,,,,,
Removed default settings,0,0,r1538990 ,1, 2015-10-30 15:30:32, Thomas 
,,,,,,
Homescreen merge,11,1,r1538828 ,0, 2015-10-30 12:22:31, Jimmy 
,,,,,,
Set up dev and prod to amxpc labs,2,0,r1538795 ,0, 2015-10-30 11:13:31, Thomas 
,,,,,,
Set up qa to amxpc-api,1,0,r1538793 ,0, 2015-10-30 11:09:24, Thomas 
,,,,,,
"PHONE-1759: Error ""WiFi Connection is Lost"" during initial backup while connected to WiFi",1,0,r1538454 ,0, 2015-10-29 15:24:47, Thomas 
,,,,,,
FTRPC-160: Frontier Android || Favorite icon is not shown for some of the PDF files,1,0,r1538444 ,0, 2015-10-29 15:13:29, Thomas 
,,,,,,
Fixed typo,2,0,r1538425 ,0, 2015-10-29 14:49:23, Thomas 
,,,,,,
Fixed typo,1,0,r1538416 ,0, 2015-10-29 14:38:14, Thomas 
,,,,,,
Merged from main line: Fixed ANDINTL-3815 User is able to create two or more albums with the same name.,2,0,r1538410 ,0, 2015-10-29 14:30:41, Thomas 
,,,,,,
FTRPC-201: Frontier Android || Contextual menu options positions changing when selecting the files,26,0,r1538393 ,0, 2015-10-29 13:55:08, Thomas 
,,,,,,
Remove empty dirs,0,0,r1538367 ,2, 2015-10-29 13:12:13, Thomas 
,,,,,,
"FTRPC-152: Frontier Android Tablet || ""Available Offline"" is been displayed when user multi select time line photos(select Monts)",1,0,r1538359 ,0, 2015-10-29 13:03:24, Thomas 
,,,,,,
Removed qa_wl builds,1,0,r1538288 ,1, 2015-10-29 11:30:26, Thomas 
,,,,,,
FTRPC-133: Frontier Android || User doesn't recieves a notification when a a file is shared with them,3,0,r1538283 ,0, 2015-10-29 11:25:18, Thomas 
,,,,,,
BTPC-70,2,0,r1538264 ,0, 2015-10-29 10:59:57, Jimmy 
,,,,,,
FTRPC-191,3,0,r1538234 ,0, 2015-10-29 10:05:43, Jimmy 
,,,,,,
Moved id splash_parent to ids.xml,2,0,r1538198 ,0, 2015-10-29 08:46:06, Thomas 
,,,,,,
Missed file,1,0,r1537920 ,0, 2015-10-28 15:10:05, Thomas 
,,,,,,
Uopdated ignores,3,0,r1537919 ,0, 2015-10-28 15:07:07, Thomas 
,,,,,,
FTRPC-55: Incorporate new Password Flows into Frontier Android 15.2 client for Frontier,10,1,r1537915 ,0, 2015-10-28 15:02:17, Thomas 
,,,,,,
Added ignores,2,0,r1537911 ,0, 2015-10-28 14:57:51, Thomas 
,,,,,,
Removed client-att and mct-att,0,0,r1537697 ,2, 2015-10-28 09:36:03, Jimmy 
,,,,,,
"FTRPC-199 : Frontier Android || Instead of ""All Files"", ""Files"" is displaying in Hamburger menu",1,0,r1537528 ,0, 2015-10-27 18:12:29, Vincent 
,,,,,,
Removed client-att and mct-att,1,0,r1537485 ,0, 2015-10-27 16:58:28, Jimmy 
,,,,,,
Enabled spanishclaros and telcel clients,6,0,r1537460 ,0, 2015-10-27 16:28:16, Jimmy 
,,,,,,
Added telcel folder,0,92,r1537454 ,0, 2015-10-27 16:04:20, Jimmy 
,,,,,,
Added spanishclaros folder,0,92,r1537452 ,0, 2015-10-27 16:01:15, Jimmy 
,,,,,,
"FTRPC-159 : Frontier Android || ""Favorite"" is displayed when user selects Folders from 'All Files' section",1,0,r1537319 ,0, 2015-10-27 13:15:19, Vincent 
,,,,,,
Lint fix,1,0,r1536385 ,0, 2015-10-23 17:03:31, Jimmy 
,,,,,,
Lint fix,2,0,r1536330 ,0, 2015-10-23 16:07:36, Jimmy 
,,,,,,
Legacy app uninstall,2,0,r1536312 ,0, 2015-10-23 15:53:51, Jimmy 
,,,,,,
Legacy app uninstall,2,0,r1536311 ,0, 2015-10-23 15:53:31, Jimmy 
,,,,,,
Legacy app uninstall,2,1,r1536126 ,0, 2015-10-23 13:40:49, Jimmy 
,,,,,,
Legacy app uninstall,7,1,r1536118 ,0, 2015-10-23 13:30:01, Jimmy 
,,,,,,
Lint fix,2,0,r1536037 ,0, 2015-10-23 11:57:54, Jimmy 
,,,,,,
Reverted to prod urls,1,0,r1536002 ,0, 2015-10-23 10:59:01, Jimmy 
,,,,,,
Added incompatibilty fragment,0,3,r1535957 ,0, 2015-10-23 10:00:03, Jimmy 
,,,,,,
Lint fix,0,0,r1535594 ,7, 2015-10-22 14:42:26, Jimmy 
,,,,,,
Added incpmpatible legacy client parameter,12,0,r1535593 ,0, 2015-10-22 14:40:39, Jimmy 
